tuid,source_segment,target_segment,domain
1,Most historians agree that William Harvey’s discovery of the circulation of blood in the early 17th century is a good place to start the modern history of cardiovascular medicine.,"Большинство историков согласны с тем, что открытие Уильямом Гарвеем кровообращения в начале XVII века является хорошей отправной точкой современной истории сердечно-сосудистой медицины.",Cardiology
2,"Pulsus alternans was described by Ludwig Traube in 1872, and Adolf Kussmaul called attention to the paradoxical pulse in 1873, noting that the arterial pulse could transiently disappear on inspiration even though the heart sounds were still audible.","Альтернирующий пульс был описан Людвигом Траубе в 1872 году, а Адольф Куссмауль в 1873 году обратил внимание на парадоксальный пульс, отметив, что артериальный пульс мог временно исчезать на вдохе, хотя тоны сердца оставались слышимыми.",Cardiology
3,"Jugular venous wave recording was initiated in France, in the mid-19th century, by Pierre-Carl Potain.",Регистрация волн яремного венозного пульса была начата во Франции в середине XIX века Пьером-Карлом Потеном.,Cardiology
4,"Auscultation of the chest was first practiced by Hippocrates (460-370 bc), who applied his ear directly to the chest.","Аускультация грудной клетки впервые применялась Гиппократом (460–370 гг. до н. э.), который непосредственно прикладывал ухо к грудной клетке.",Cardiology
5,"With the electrocardiogram, the activation and sequence of stimulation of the human heart could now be measured, and the anatomic basis for the conduction system confirmed.",С помощью электрокардиограммы теперь можно было измерять активацию и последовательность возбуждения человеческого сердца и подтверждать анатомическую основу проводящей системы.,Cardiology
6,"It was the impetus of cardiac surgery requiring an accurate diagnosis, initially for congenital heart and rheumatic mitral disease, that brought cardiac catheterization out of the physiology laboratory and to the forefront of clinical cardiology in the 1950s.","Именно потребность кардиохирургии в точной диагностике, первоначально при врождённых пороках сердца и ревматическом поражении митрального клапана, вывела катетеризацию сердца из физиологической лаборатории на передний план клинической кардиологии в 1950-х годах.",Cardiology
7,His classic account marks the beginning of our appreciation of coronary artery disease and myocardial ischemia.,Его классическое описание стало началом нашего понимания ишемической болезни сердца и ишемии миокарда.,Cardiology
8,"Nevertheless, a coronary cause of angina pectoris was not readily accepted until the late 19th century.",Тем не менее коронарная причина стенокардии не была легко принята вплоть до конца XIX века.,Cardiology
9,"At that time, acute or chronic myocarditis was thought to be the major cause; however, he considered the role of hypertension, ventricular hypertrophy and dilatation, heart failure without enlargement, and familial occurrence.","В то время основной причиной считался острый или хронический миокардит; однако он рассматривал также роль гипертензии, гипертрофии и дилатации желудочков, сердечной недостаточности без увеличения сердца и семейной предрасположенности.",Cardiology
10,Biventricular pacing (1998) for patients with left ventricular dysfunction coupled with defibrillation capability has improved the quality of life and reduced mortality among some groups of patients with systolic heart failure.,Бивентрикулярная стимуляция (1998) у пациентов с дисфункцией левого желудочка в сочетании с возможностью дефибрилляции улучшила качество жизни и снизила смертность в некоторых группах пациентов с систолической сердечной недостаточностью.,Cardiology
11,Cardiovascular diseases (CVDs) are the most common cause of premature death in the world.,Сердечно-сосудистые заболевания являются наиболее частой причиной преждевременной смерти в мире.,Cardiology
12,IHD is the leading cause of death worldwide.,Ишемическая болезнь сердца является ведущей причиной смерти во всём мире.,Cardiology
13,"Overall, the age-standardized DALY rates for IHD, lower respiratory infections, and cerebrovascular disease declined, although not sufficiently for these conditions to be replaced as the leading causes of disease burden worldwide.","В целом возраст-стандартизированные показатели DALY для ишемической болезни сердца, инфекций нижних дыхательных путей и цереброваскулярных заболеваний снизились, хотя недостаточно, чтобы эти состояния перестали быть ведущими причинами глобального бремени болезней.",Cardiology
14,Abdominal aortic aneurysm (AAA) is a focal dilation of the abdominal aorta of at least 1.5 times the normal diameter or an absolute value of 3.0 cm or greater.,"Аневризма брюшной аорты представляет собой локальное расширение брюшной аорты как минимум в 1,5 раза по сравнению с нормальным диаметром или до абсолютного значения не менее 3,0 см.",Cardiology
15,Peripheral arterial disease (PAD) is a circulatory problem in which narrowed arteries reduce blood flow to the limbs and causes symptoms of leg pain with walking (claudication).,"Заболевание периферических артерий является нарушением кровообращения, при котором суженные артерии уменьшают кровоток в конечностях и вызывают боль в ногах при ходьбе (хромоту).",Cardiology
16,Age-adjusted disability-adjusted life year rates of atrial fibrillation for men and women in developed versus developing countries (2010).,"Возраст-стандартизированные показатели лет жизни, скорректированных на инвалидность, при фибрилляции предсердий у мужчин и женщин в развитых и развивающихся странах (2010 год).",Cardiology
