Source (en),Target (ru),Comment
circulation of blood,кровообращение,The continuous movement of blood through the heart and vessels delivers oxygen and nutrients while returning blood to the circulation.
arterial pulse,артериальный пульс,The arterial pulse is the rhythmic expansion of an artery produced by ventricular ejection and transmitted through the arterial system.
jugular venous pulse,яремный венозный пульс,The jugular venous pulse is a visible or palpable waveform that reflects pressure and pressure changes in the right atrium and central veins.
auscultation,аускультация,Auscultation is the clinical practice of listening to cardiac sounds with a stethoscope to identify normal findings and abnormal murmurs.
electrocardiogram,электрокардиограмма,The electrocardiogram records the heart’s electrical activation at the body surface and allows cardiac excitation and conduction to be assessed.
cardiac catheterization,катетеризация сердца,Cardiac catheterization is an invasive technique used to obtain physiologic measurements and define cardiac anatomy for diagnosis and treatment.
coronary artery disease,ишемическая болезнь сердца,Coronary artery disease is a disorder of the coronary circulation that can reduce myocardial blood flow and produce ischemia or infarction.
angina pectoris,стенокардия,"Angina pectoris is a clinical syndrome of chest discomfort associated with myocardial ischemia, often provoked by exertion or increased cardiac demand."
hypertension,артериальная гипертензия,Hypertension denotes persistently elevated arterial pressure and is discussed as an important contributor to cardiovascular disease and organ damage.
heart failure,сердечная недостаточность,"Heart failure is a clinical syndrome in which cardiac performance is insufficient or abnormal enough to produce symptoms, functional limitation, or congestion."
cardiovascular diseases,сердечно-сосудистые заболевания,Cardiovascular diseases comprise disorders of the heart and blood vessels and represent a major cause of premature death worldwide.
ischemic heart disease,ишемическая болезнь сердца,"Ischemic heart disease results from inadequate coronary blood supply relative to myocardial demand and can cause angina, infarction, and death."
cerebrovascular disease,цереброваскулярное заболевание,"Cerebrovascular disease affects the vessels supplying the brain and can produce stroke, disability, and death."
abdominal aortic aneurysm,аневризма брюшной аорты,An abdominal aortic aneurysm is a focal enlargement of the abdominal aorta meeting a defined size threshold relative to the normal vessel.
peripheral arterial disease,заболевание периферических артерий,"Peripheral arterial disease narrows arteries supplying the limbs, reduces blood flow, and commonly produces exertional leg pain known as claudication."
